107.159.62.0/23,CA,CA-QC,Montreal,
107.159.64.0/23,CA,CA-QC,Montreal,
107.159.66.0/24,CA,CA-QC,Montreal,
107.159.67.0/24,CA,CA-QC,Montreal,
107.159.68.0/22,CA,CA-QC,Montreal,
107.159.72.0/21,CA,CA-QC,Montreal,
107.159.80.0/20,CA,CA-QC,Montreal,
107.159.96.0/20,CA,CA-QC,Montreal,
107.159.112.0/20,CA,CA-QC,Montreal,
107.159.128.0/20,CA,CA-QC,Montreal,
107.159.176.0/21,CA,CA-QC,Montreal,
107.159.184.0/21,CA,CA-QC,Montreal,
107.159.192.0/21,CA,CA-QC,Montreal,
107.159.200.0/21,CA,CA-QC,Montreal,
107.159.208.0/21,CA,CA-QC,Montreal,
107.159.216.0/21,CA,CA-QC,Montreal,
107.159.224.0/21,CA,CA-QC,Montreal,
107.159.232.0/21,CA,CA-QC,Montreal,
#
107.161.56.0/21,CA,CA-ON,Toronto,
107.161.56.0/24,CA,CA-ON,London,
107.161.57.0/24,CA,CA-ON,London,
107.161.58.0/24,CA,CA-ON,London,
107.161.59.0/24,CA,CA-ON,Stratford,
107.161.60.0/24,CA,CA-ON,Orangeville,
107.161.61.0/24,CA,CA-ON,Alliston,
107.161.62.0/24,CA,CA-ON,Barrie,
107.161.63.0/24,CA,CA-ON,Barrie,
#
107.167.248.0/21,CA,CA-ON,Toronto,
107.167.248.0/24,CA,CA-ON,Orillia,
107.167.249.0/24,CA,CA-ON,Pefferlaw,
107.167.250.0/24,CA,CA-ON,Newmarket,
107.167.251.0/24,CA,CA-ON,Newmarket,
107.167.252.0/24,CA,CA-ON,Bolton,
107.167.253.0/24,CA,CA-ON,Woodbridge,
107.167.254.0/24,CA,CA-ON,Collingwood,
107.167.255.0/27,CA,CA-ON,Toronto
107.167.255.32/27,CA,CA-ON,Toronto
107.167.255.64/27,CA,CA-ON,Toronto
107.167.255.96/27,CA,CA-ON,Ottawa
#
146.71.8.0/21,CA,CA-ON,Ottawa,
#
172.93.16.0/20,CA,CA-QC,Longueil,
172.93.16.0/24,CA,CA-QC,Longueil,
172.93.17.24/29,CA,CA-ON,Toronto,
172.93.17.40/29,CA,CA-ON,Toronto,
172.93.17.160/27,CA,CA-QC,Prévost,
172.93.18.0/24,CA,CA-OQC,Longueuil,
172.93.19.0/24,CA,CA-QC,Longueuil,
172.93.20.0/24,CA,CA-QC,Longueuil,
172.93.24.0/21,CA,CA-QC,Montreal,
#
173.246.0.0/19,CA,CA-QC,Montreal,
#
185.146.32.0/22,CA,CA-ON,Toronto,
#
192.222.128.0/17,CA,CA-QC,Montreal,
192.222.204.16/28,CA,CA-QC,Amos,
192.222.204.48/28,CA,CA-QC,Lebel,
#
198.16.128.0/22,CA,CA-QC,Val-d'Or,
198.16.132.0/22,CA,CA-QC,Rouyn-Noranda,
198.16.136.0/23,CA,CA-QC,La Sarre,
198.16.138.0/24,CA,CA-QC,Val-d'Or,
198.16.140.0/24,CA,CA-QC,La Sarre,
198.16.141.0/24,CA,CA-QC,La Sarre,
198.16.142.0/22,CA,CA-QC,Rouyn-Noranda,
198.16.143.0/22,CA,CA-QC,Rouyn-Noranda,
198.16.144.0/21,CA,CA-QC,Montreal,
198.16.152.0/21,CA,CA-QC,Montreal,
198.16.160.0/21,CA,CA-QC,Montreal,
198.16.168.0/21,CA,CA-QC,Montreal,
198.16.176.0/21,CA,CA-QC,Montreal,
198.16.184.0/21,CA,CA-QC,Montreal,
198.16.192.0/21,CA,CA-QC,Montreal,
198.16.200.0/21,CA,CA-QC,Montreal,
198.16.208.0/21,CA,CA-QC,Montreal,
198.16.216.0/21,CA,CA-QC,Montreal,
198.16.224.0/21,CA,CA-QC,Montreal,
198.16.232.0/21,CA,CA-QC,Montreal,
198.16.240.0/21,CA,CA-QC,Montreal,
198.16.248.0/21,CA,CA-QC,Montreal,
#
198.58.128.0/22,CA,CA-ON,Toronto,
198.58.132.0/22,CA,CA-ON,Toronto,
198.58.133.0/21,CA,CA-QC,Montreal,
198.58.136.0/22,CA,CA-QC,Montreal,
